순번,호출부호,입항횟수,입항횟수.1,입항횟수.2,신고톤수,선박명,선사/대리점,선사/대리점.1,신청시설,신청시설.1,신청시설.2,신청일시(FROM ~ TO),신청일시(FROM ~ TO).1,지정시설,지정시설.1,지정시설.2,지정일시(FROM ~ TO),지정일시(FROM ~ TO).1,사용목적명,예보일시,허가유무
278,971467,2023,127,1,81,제7천양,BSU2855,(주)보해해운,MBM,01,미원안벽,2023-10-02 17:15,2023-10-02 18:00,MBM,01,미원안벽,2023-10-02 17:15,2023-10-02 18:00,접안대기,2023-10-03,허가완료
287,V3IH,2023,2,1,2.972,SHENG WEI,BSC0336,씨라이트해운(주),WAN,03,남외항 N-3박지,2023-10-03 23:00,2023-10-06 07:00,WAN,03,남외항 N-3박지,2023-10-03 23:00,2023-10-06 07:00,접안대기,2023-10-03,허가완료
299,VRSN8,2023,12,1,39.906,KOTA LUKIS,OSL2001,에스엠상선(주)부산영업소,WAW,01,신항 W-1 정박지,2023-10-04 13:00,2023-10-05 22:00,WAW,01,신항 W-1 정박지,2023-10-04 13:00,2023-10-05 22:00,접안대기,2023-10-03,허가완료
303,940737,2023,9,20,49,제 1002 대성호,BSZ9056,대성선박,OLT,01,대교동호안,2023-09-26 14:50,2023-09-27 10:20,,,,,,접안대기,2023-10-03,미허가
304,940737,2023,9,21,49,제 1002 대성호,BSZ9056,대성선박,OLT,01,대교동호안,2023-09-27 10:30,2023-10-03 02:30,,,,,,접안대기,2023-10-03,미허가
305,940737,2023,9,22,49,제 1002 대성호,BSZ9056,대성선박,MYP,01,부산조선안벽,2023-10-03 02:45,2023-10-03 02:50,,,,,,접안대기,2023-10-03,미허가
306,940737,2023,9,23,562,제 1002 대성호,BSZ9056,대성선박,*SD,01,송도 투기장,2023-10-03 08:00,2023-10-03 10:15,,,,,,접안대기,2023-10-03,미허가
307,940737,2023,9,24,562,제 1002 대성호,BSZ9056,대성선박,MYP,01,부산조선안벽,2023-10-03 15:50,2023-10-03 15:55,,,,,,접안대기,2023-10-03,미허가
308,835523,2023,3,41,74,동진1호,BSB2508,동진선박,WAZ,99,기타정박지,2023-09-23 14:50,2023-10-01 09:30,MWB,01,봉래동물량장,2023-09-23 14:50,2023-10-01 09:30,접안대기,2023-10-03,허가완료
309,835523,2023,3,42,74,동진1호,BSB2508,동진선박,MWB,01,봉래동물량장,2023-10-01 12:50,2023-10-02 18:08,MYP,01,부산조선안벽,2023-10-01 12:50,2023-10-02 18:08,접안대기,2023-10-03,허가완료
310,835523,2023,3,43,74,동진1호,BSB2508,동진선박,MYP,01,부산조선안벽,2023-10-02 18:20,2023-10-03 02:10,*SD,01,송도 투기장,2023-10-02 18:20,2023-10-03 02:10,접안대기,2023-10-03,허가완료
311,835523,2023,3,44,621,동진1호,BSB2508,동진선박,*SD,01,송도 투기장,2023-10-03 09:10,2023-10-03 13:29,MYP,01,부산조선안벽,2023-10-03 09:10,2023-10-03 13:29,접안대기,2023-10-03,허가완료
312,835523,2023,3,47,74,동진1호,BSB2508,동진선박,OLH,01,청학안벽,2023-10-04 05:00,2023-10-19 12:00,*SD,01,송도 투기장,2023-10-04 05:00,2023-10-19 12:00,접안대기,2023-10-03,허가완료
320,3E3843,2023,42,2,6.393,HONOR VOYAGER,BSC0406,오케이쉬핑(주),WAN,03,남외항 N-3박지,2023-10-04 00:00,2023-10-10 23:00,WAN,03,남외항 N-3박지,2023-10-04 00:00,2023-10-10 23:00,접안대기,2023-10-03,허가완료
321,3E2703,2023,4,1,9.283,EN TAI,BSC0336,씨라이트해운(주),WAN,03,남외항 N-3박지,2023-10-04 01:00,2023-10-07 00:00,MKC,01,감천 중앙부두 1선석,2023-10-04 01:00,2023-10-07 00:00,접안대기,2023-10-04,허가완료
